Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,250.75,-213.520654,90.0,top
C10,10uF,C_1206_3216Metric,160.900005,-207.020654,180.0,top
C11,0.1uF,C_0603_1608Metric,171.025,-215.020654,0.0,top
C12,0.1uF,C_0603_1608Metric,170.99771,-217.020654,180.0,top
C13,1nF,C_0603_1608Metric,217.49771,-205.520654,90.0,top
C14,6.8nF,C_1206_3216Metric,208.99771,-205.520654,-90.0,top
C2,10uF,C_1206_3216Metric,245.49771,-213.520654,-90.0,top
C3,0.1uF,C_0603_1608Metric,245.5,-204.720654,180.0,top
C4,10uF,C_1206_3216Metric,160.900005,-211.020654,180.0,top
C5,10uF,C_1206_3216Metric,165.89313,-216.041308,90.0,top
C6,47nF,C_1206_3216Metric,239.79771,-197.020654,180.0,top
C7,1nF,C_0603_1608Metric,175.09771,-217.020654,180.0,top
C9,10uF,C_1206_3216Metric,160.89771,-203.020654,180.0,top
Cp1,33pf,C_1808_HandSolder,211.59771,-197.570654,-90.0,top
Cp2,33pf,C_1808_HandSolder,207.09771,-197.570654,-90.0,top
Cp3,33pf,C_1808_HandSolder,202.59771,-197.570654,-90.0,top
Cp4,33pf,C_1808_HandSolder,198.1,-197.570654,-90.0,top
D2,flash,LED_1206_3216Metric,217.5,-221.020654,90.0,top
D3,PWR,LED_1206_3216Metric,152.49771,-203.020654,180.0,top
D4,GSD2004S-E3-08,SOT-23,245.56021,-201.070654,90.0,top
D5,4.3V,D_SOD-123,213.0,-221.020654,-90.0,top
D6,RUN,LED_1206_3216Metric,152.49771,-207.020654,180.0,top
D7,HEAT,LED_1206_3216Metric,152.49771,-211.020654,180.0,top
D8,15v,TSOT-23,208.99771,-213.520654,0.0,top
GD1,470V,L_1812_4532Metric,249.49771,-200.020654,-90.0,top
HS1,Heatsink,ATS-18A-05-C2-R0,199.995415,-214.041312,180.0,bottom
J1,JST-XH,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,165.99771,-203.520654,270.0,bottom
J2,fan header,PinSocket_1x02_P2.00mm_Vertical,165.99771,-210.020654,180.0,bottom
L1,6.8uH,L_Bourns_SRR1260_nosilkscreen,174.99771,-207.020654,0.0,top
L2,1.9uH,plasmadonut_inductor_2layer_115mm_integrated,200.72271,-185.220654,0.0,bottom
L3,8-turn pcb,FEEDBACK_COIL,157.55246,-194.615654,0.0,top
Q1,IPB17N25S3100ATMA1,TO-263-2_nosilkscreen,191.875,-220.020654,180.0,top
Q2,IPB17N25S3100ATMA1,TO-263-2_nosilkscreen,191.87271,-207.020654,180.0,top
R1,1k,R_0603_1608Metric,217.49771,-225.020654,180.0,top
R10,10k,R_1206_3216Metric,212.99771,-205.520654,-90.0,top
R11,680,R_1206_3216Metric,156.900005,-211.020654,-90.0,top
R12,1k,R_1206_3216Metric,212.99771,-213.520654,90.0,top
R2,1k,R_0603_1608Metric,253.09771,-207.020654,90.0,top
R3,150,R_0603_1608Metric,248.25,-213.520654,90.0,top
R4,6.8k,R_0603_1608Metric,156.900005,-203.020654,-90.0,top
R5,68k,R_0603_1608Metric,245.49771,-207.020654,0.0,top
R6,2k,R_0603_1608Metric,245.49771,-209.220654,180.0,top
R7,47k,R_0603_1608Metric,175.07541,-215.020654,180.0,top
R8,6.8k,R_1206_3216Metric,208.99771,-221.020654,90.0,top
R9,680,R_0603_1608Metric,156.89771,-207.020654,90.0,top
RV1,10k,Potentiometer_Bourns_PTV09A-1_Single_Vertical_larger_mount_holes,236.99771,-217.520654,-90.0,top
Rg1,10,R_2010_5025Metric,203.49771,-217.520654,180.0,top
Rg2,10,R_2010_5025Metric,203.49771,-222.520654,180.0,top
Rg3,10,R_2010_5025Metric,203.4,-204.520654,180.0,top
Rg4,10,R_2010_5025Metric,203.4,-209.520654,180.0,top
SW1,ARC START,SW_Push_1P1T_NO_6x6mm_H9.5mm,223.99771,-220.520654,90.0,top
T1,PA0367A 1:12,PA0367A,237.0,-205.5,45.0,top
T2,ZS 1052-S HT(H),ZS 1052-S HT(H),223.99771,-201.495654,90.0,top
U1,LT3402,MSOP-10_3x3mm_P0.5mm,249.5,-207.020654,90.0,top
U2,XC6702,SOT-89-5,160.89542,-216.041308,180.0,top
U3,MCP1754ST,SOT-23,174.99771,-220.020654,180.0,top
U4,TMP708AIDBVR,SOT-23-5,179.99771,-220.020654,0.0,top
